Drone Speed (mph),Percent Covered
0,16.92362883%
5,16.92672564%
10,16.95972174%
15,17.10677911%
20,17.72531897%
25,19.47586626%
30,22.88002793%
35,27.99190225%
40,34.24510183%
45,41.04561464%
50,47.90463798%
55,54.51229900%
60,60.75757842%
65,66.45760001%
70,71.51214224%
75,75.97886605%
80,79.90531983%
85,83.34678025%
90,86.31015348%
95,88.86581659%
100,91.02821221%
105,92.85195932%
110,94.35473439%
115,95.58515460%
120,96.55908769%
125,97.30604925%
130,97.88630377%
135,98.34833139%
140,98.73063672%
145,99.02894449%
150,99.27030384%
155,99.44797304%
160,99.57083145%
165,99.66255732%
170,99.73082417%
175,99.78429210%
180,99.82904512%
185,99.86724825%
190,99.90117613%
195,99.92891039%
200,99.94982071%
